TIMESTAMP,aT_05_avg,aT_1_avg,aT_2_avg,RH_05_avg,RH_1_avg,RH_2_avg,SW_avg,SWrefl_avg,LW_avg,LWout_avg,WS_avg,WS_std,WS_min,WS_max,WD_avg,WD_std,Prec_tot
2017-05-21 13:00,2.5,2.4,2.3,74,73,76,563,386,316,343,2.8,1.3,0,7.9,146,39.5,0
2017-05-21 14:00,3.5,3.4,3.5,71,69,72,692,467,302,344,4.1,1.4,0.8,9.7,287,48.2,0
2017-05-21 15:00,2.4,2.3,2.4,77,76,79,363,253,329,342,2.6,1.2,0.2,7,138,39.2,0
2017-05-21 16:00,1,0.9,0.8,84,85,89,207,152,339,340,1.6,0.5,0.3,2.5,72,18.6,0
2017-05-21 17:00,0.5,0.4,0.4,87,88,92,130,97,337,340,1.3,0.6,0,3.5,60,39,0
2017-05-21 18:00,1,1.3,1.4,85,85,88,89,68,326,339,4.6,2,0,12,177,45.1,0
2017-05-21 19:00,0.9,0.8,0.9,81,81,85,79,57,296,338,4.2,1.9,0.5,14.5,198,45.4,0
2017-05-21 20:00,0.5,0.5,0.7,76,74,76,21,20,256,333,7.6,2.2,3,12.1,266,19.6,0
2017-05-21 21:00,0.2,0.3,0.5,71,69,72,9,11,250,329,5.8,2.3,0.5,13.9,293,43.5,0
2017-05-21 22:00,-0.9,-0.8,-0.6,76,76,79,9,9,248,324,1.7,0.7,0,3.3,81,47,0
2017-05-21 23:00,-1.9,-1.6,-1.5,81,81,86,NaN,9,245,319,1.4,0.7,0,5.5,30,49.1,0
2017-05-22 00:00,-1.8,-1.4,-1.2,78,77,81,NaN,9,246,317,1.4,0.8,0,4,160,54.1,0
2017-05-22 01:00,-1.1,-0.8,-0.6,73,72,75,9,9,247,317,2.3,1.3,0.3,6.7,248,66.8,0
2017-05-22 02:00,-2.4,-1.9,-1.6,79,78,81,9,13,246,313,1.7,0.6,0.2,3.5,85,34,0
2017-05-22 03:00,-1.6,-1,-0.7,74,72,75,104,65,248,313,1.3,0.5,0,3,222,42.9,0
2017-05-22 04:00,-0.8,-0.3,-0.1,73,70,73,260,159,258,322,0.8,0.5,0,2,NaN,53.1,0
