ELA: 1610.0 
AAR: 24.3 % 
  Elev		      Area	      Bw	   bw	        Bs	   bs	       Bn	     bn
(m)	  (m)	      (m^2)	     (m^3)	(w.eq.)	   (m^3)	(w.eq.)	  (m^3)	  (w.eq.)
1320	 1340	    51075	   154206.4	 3.02	   234425.9	 4.59	   -80219.5	 -1.57
1340	 1360	    97650	   260381.6	 2.67	   431946.2	 4.42	  -171564.7	 -1.76
1360	 1380	   143325	   335559.7	 2.34	   603219.0	 4.21	  -267659.4	 -1.87
1380	 1400	   146925	   289045.7	 1.97	   587413.9	 4.00	  -298368.1	 -2.03
1400	 1420	   149625	   232749.6	 1.56	   565825.5	 3.78	  -333075.9	 -2.23
1420	 1440	   159300	   190023.6	 1.19	   567139.5	 3.56	  -377116.0	 -2.37
1440	 1460	   216900	   208219.4	 0.96	   722219.7	 3.33	  -514000.3	 -2.37
1460	 1480	   252900	   211507.5	 0.84	   791272.6	 3.13	  -579765.1	 -2.29
1480	 1500	   195525	   157670.5	 0.81	   569060.8	 2.91	  -411390.3	 -2.10
1500	 1520	   186075	   164142.7	 0.88	   499435.6	 2.68	  -335292.9	 -1.80
1520	 1540	   366525	   334902.6	 0.91	   900100.0	 2.46	  -565197.3	 -1.54
1540	 1560	   346050	   344999.3	 1.00	   782005.1	 2.26	  -437005.8	 -1.26
1560	 1580	   227475	   219413.5	 0.96	   464204.7	 2.04	  -244791.2	 -1.08
1580	 1600	   189900	   182739.0	 0.96	   344090.4	 1.81	  -161351.4	 -0.85
1600	 1620	   323100	   469123.7	 1.45	   513685.9	 1.59	   -44562.2	 -0.14
1620	 1640	   314100	   874821.0	 2.79	   436422.3	 1.39	   438398.8	 +1.40
1640	 1660	   193275	   742268.3	 3.84	   226176.8	 1.17	   516091.5	 +2.67
1660	 1680	   206325	   942168.9	 4.57	   196933.7	 0.95	   745235.3	 +3.61
1680	 1700	   103500	   491675.7	 4.75	    77009.6	 0.74	   414666.1	 +4.01
1700	 1720	    40275	   204388.5	 5.07	    20897.9	 0.52	   183490.6	 +4.56
1720	 1740	    30600	   154385.4	 5.05	     9060.1	 0.30	   145325.3	 +4.75
1740	 1760	    17325	    91623.0	 5.29	     1646.2	 0.10	    89976.8	 +5.19
1760	 1780	     4725	    25836.5	 5.47	     -538.9	 -0.11	    26375.4	 +5.58
1780	 1800	      675	     2560.8	 3.79	     -187.8	 -0.28	     2748.5	 +4.07

1320	 1800	  3963150	  7284412.9	 1.84	  9543464.7	 2.41	 -2259051.9	 -0.57
